"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"A. Broja","ST",2,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,5.3,13.4
"A. Christensen","CB",8,8,0,0,0,0,0,70,66,0,49,46,4,2,19,3,79.6,55.9
"A. Elenga","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Badiashile","CB",4,4,0,0,0,0,0,23,23,0,23,22,1,0,3,1,39.4,26.6
"B. Chilwell","LWB",8,7,0,0,2,0,0,82,72,4,61,57,6,3,6,9,77.6,57
"C. Gallagher","CM",4,2,0,0,0,2,1,22,21,1,22,21,0,0,1,3,24.9,24.2
"Cucurella","LB",8,3,1,0,2,0,0,47,41,4,39,36,3,2,5,7,50.5,55
"D. Fofana","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Rice","CDM",9,7,0,0,0,0,0,99,94,3,81,79,8,7,21,5,87,62.6
"D. Zakaria","CDM",4,2,0,0,0,0,0,24,22,1,19,19,2,2,5,1,27.7,25.1
"E. Fernández","CM",7,7,0,1,3,3,2,70,65,5,62,59,3,0,4,10,63.7,46.9
"J. Félix","CF",10,8,5,14,7,23,17,93,78,17,84,77,1,1,1,20,90.7,80.1
"J. Gvardiol","CB",8,8,0,0,0,0,0,71,67,0,59,56,4,2,16,5,82.8,56.7
"K. Havertz","CAM",9,9,1,9,4,20,14,109,96,11,108,104,0,0,1,18,90,66
"Kepa","GK",7,7,0,0,0,0,0,28,28,0,11,11,0,0,14,0,35.2,47.5
"L. Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Gusto","RB",8,2,1,1,0,1,1,42,36,0,34,32,3,3,8,7,40.3,53.5
"M. Mount","CAM",10,8,1,4,7,16,12,118,98,15,105,102,6,3,9,15,100.5,70.6
"N. Jackson","ST",8,3,0,1,2,8,4,28,23,6,28,23,1,0,1,15,32.7,50.6
"N. Madueke","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Aubameyang","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. James","RWB",9,8,1,1,2,1,1,95,97,7,89,84,7,5,10,9,89.1,68.4
"R. Lavia","CDM",3,1,0,0,0,1,0,18,17,1,18,16,4,3,3,3,14.8,19.2
"R. Sterling","LW",8,2,0,3,2,9,6,37,25,2,40,35,0,0,1,12,43,52.2
"T. Chalobah","CB",4,3,0,0,0,0,0,22,22,0,16,16,0,0,4,0,35.1,26.1
"W. Fofana","CB",7,7,0,0,0,0,0,56,52,0,42,41,7,6,16,3,75.1,49.3
"W. Zaïre-Emery","CM",7,1,0,2,1,3,3,36,32,3,34,34,0,0,1,4,29.4,45
"É. Mendy","GK",3,3,0,0,0,0,0,12,12,0,2,2,0,0,8,0,15.4,20.8
