"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Nicolas Jackson",NA,1,1,0,0,0,1,1,4,3,1,5,4,0,0,0,3,7,6
"Raheem Sterling",NA,1,1,0,1,1,3,2,14,7,1,15,13,0,0,1,6,13.5,7.7
"Kai Havertz",NA,1,1,0,0,0,0,0,7,6,1,7,6,0,0,0,2,7.5,6.1
"Conor Gallagher",NA,1,1,0,0,0,0,0,7,7,1,6,6,0,0,1,0,7.8,6.2
"Denis Zakaria",NA,1,1,0,0,0,0,0,9,9,0,8,8,2,2,3,0,13.2,7.1
"Marc Cucurella",NA,1,1,0,0,0,0,0,14,12,1,11,11,1,1,3,2,13.6,8
"Benoît Badiashile",NA,1,1,0,0,0,0,0,5,5,0,6,5,1,0,1,1,11,6.6
"Andreas Christensen",NA,1,1,0,0,0,0,0,10,10,0,8,7,0,0,4,1,10.2,7.6
"Trevoh Chalobah",NA,1,1,0,0,0,0,0,9,9,0,6,6,0,0,0,0,10.6,7
"Malo Gusto",NA,1,1,1,1,0,1,1,14,13,0,12,12,1,1,3,0,14.2,9.1
"Édouard Mendy",NA,1,1,0,0,0,0,0,4,4,0,1,1,0,0,2,0,5.4,6.6
"Warren Zaïre-Emery",NA,1,0,0,0,1,1,1,5,5,1,6,6,0,0,0,0,5.5,6.9
"Mason Mount",NA,1,0,0,1,0,1,1,6,5,1,4,4,0,0,0,0,5.5,7.3
"João Félix",NA,1,0,0,1,1,3,2,3,2,1,5,5,0,0,0,1,5.6,7.9
