"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"A. Broja","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A. Christensen","CB",1,1,0,0,0,0,0,10,10,0,8,7,0,0,4,1,10.2,7.6
"A. Elenga","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Badiashile","CB",1,1,0,0,0,0,0,5,5,0,6,5,1,0,1,1,11,6.6
"B. Chilwell","LWB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C. Gallagher","CM",1,1,0,0,0,0,0,7,7,1,6,6,0,0,1,0,7.8,6.2
"Cucurella","LB",1,1,0,0,0,0,0,14,12,1,11,11,1,1,3,2,13.6,8
"D. Fofana","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Rice","CDM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Zakaria","CDM",1,1,0,0,0,0,0,9,9,0,8,8,2,2,3,0,13.2,7.1
"E. Fernández","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"J. Félix","CF",1,0,0,1,1,3,2,3,2,1,5,5,0,0,0,1,5.6,7.9
"J. Gvardiol","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K. Havertz","CAM",1,1,0,0,0,0,0,7,6,1,7,6,0,0,0,2,7.5,6.1
"Kepa","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L. Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Gusto","RB",1,1,1,1,0,1,1,14,13,0,12,12,1,1,3,0,14.2,9.1
"M. Mount","CAM",1,0,0,1,0,1,1,6,5,1,4,4,0,0,0,0,5.5,7.3
"N. Jackson","ST",1,1,0,0,0,1,1,4,3,1,5,4,0,0,0,3,7,6
"N. Madueke","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Aubameyang","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. James","RWB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. Lavia","CDM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. Sterling","LW",1,1,0,1,1,3,2,14,7,1,15,13,0,0,1,6,13.5,7.7
"T. Chalobah","CB",1,1,0,0,0,0,0,9,9,0,6,6,0,0,0,0,10.6,7
"W. Fofana","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W. Zaïre-Emery","CM",1,0,0,0,1,1,1,5,5,1,6,6,0,0,0,0,5.5,6.9
"É. Mendy","GK",1,1,0,0,0,0,0,4,4,0,1,1,0,0,2,0,5.4,6.6
