"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"N. Jackson",NA,1,1,0,0,0,2,1,4,3,1,5,5,0,0,0,3,7.4,6.1
"R. Sterling",NA,1,1,0,0,0,0,0,7,7,0,6,5,0,0,0,1,13,6.2
"M. Mount",NA,1,1,1,0,1,1,1,21,18,3,19,19,1,1,2,3,12.4,7.4
"C. Gallagher",NA,1,1,0,0,0,2,1,9,8,0,10,10,0,0,0,2,9.7,6.1
"D. Zakaria",NA,1,1,0,0,0,0,0,9,7,0,6,6,0,0,2,1,8.3,6.1
"Cucurella",NA,1,1,0,0,0,0,0,11,8,1,13,10,2,1,1,5,11.2,7.1
"B. Badiashile",NA,1,1,0,0,0,0,0,5,5,0,5,5,0,0,1,0,10.6,6.5
"A. Christensen",NA,1,1,0,0,0,0,0,2,2,0,4,2,1,1,1,0,10.3,6.2
"T. Chalobah",NA,1,1,0,0,0,0,0,4,4,0,3,3,0,0,2,0,10.5,6.6
"M. Gusto",NA,1,1,0,0,0,0,0,10,9,0,8,8,1,1,3,1,10.9,7.1
"É. Mendy",NA,1,1,0,0,0,0,0,3,3,0,0,0,0,0,3,0,5,7.3
"R. James",NA,1,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,2.7,6.4
"B. Chilwell",NA,1,0,0,0,0,0,0,2,2,1,2,2,0,0,0,0,2.2,7
"D. Rice",NA,1,0,0,0,0,0,0,6,6,0,4,4,0,0,1,0,4.3,6.4
"J. Félix",NA,1,0,0,1,0,1,1,3,3,0,3,3,0,0,0,0,4.4,7.3
"W. Zaïre-Emery",NA,1,0,0,1,0,1,1,6,6,0,5,5,0,0,0,0,2.6,7.4
