"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Andreas Christensen","CB",3,3,0,0,0,0,0,16,16,0,15,13,2,2,6,0,31.1,20.2
"Armando Broja","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ben Chilwell","LWB",1,0,0,0,0,0,0,2,2,1,2,2,0,0,0,0,2.2,7
"Benoît Badiashile","CB",2,2,0,0,0,0,0,8,8,0,6,6,0,0,2,0,21.5,12.4
"Conor Gallagher","CM",3,2,0,0,0,2,1,19,17,0,19,19,0,0,0,3,24.3,18.1
"Declan Rice","CDM",3,1,0,0,0,0,0,29,27,0,21,18,2,2,5,2,21.8,19.7
"Denis Zakaria","CDM",3,3,0,0,0,1,1,28,24,0,25,24,0,0,3,4,25.2,19
"Enzo Fernández","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"João Félix","CF",3,1,1,5,0,5,5,10,9,3,14,13,0,0,0,2,16,23
"Joško Gvardiol","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kai Havertz","CAM",2,2,0,0,1,3,3,20,16,4,19,18,1,1,1,3,14.7,12.9
"Kepa","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lewis Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malo Gusto","RB",3,3,0,0,0,0,0,34,30,2,27,26,1,1,6,4,36.8,21.8
"Marc Cucurella","LB",3,3,0,0,1,0,0,39,31,3,43,38,5,2,5,9,36.4,22.7
"Mason Mount","CAM",1,1,1,0,1,1,1,21,18,3,19,19,1,1,2,3,12.4,7.4
"Nicolas Jackson","ST",3,2,1,0,4,6,2,23,17,6,19,17,1,0,2,10,22.4,20.4
"Raheem Sterling","LW",3,3,0,2,1,3,3,38,33,2,33,30,0,0,0,6,38.1,20.8
"Reece James","RWB",1,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,2.7,6.4
"Romeo Lavia","CDM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trevoh Chalobah","CB",3,3,0,0,0,0,0,15,14,0,8,8,2,2,8,0,32,20.5
"Warren Zaïre-Emery","CM",2,0,0,2,0,2,2,9,8,0,8,8,0,0,0,1,7.2,14.5
"Wesley Fofana","CB",1,0,0,0,0,0,0,7,6,0,7,7,0,0,2,1,7.7,6.2
"Édouard Mendy","GK",3,3,0,0,0,0,0,12,12,0,3,3,0,0,8,0,14.9,21.7
