Name,Pos,Played,Started,MOTM,Goals,Assists,Shots,Shot_Comp,Pass,Pass_Comp,Key_Pass,Dribble,Dribble_Comp,Tackle,Tackle_Comp,Possession_Won,Possession_Lost,Distance,Rating
N. Jackson,NA,1,0,0,0,1,0,0,4,4,1,2,2,0,0,0,0,1.5,6.3
J. Félix,NA,1,1,0,0,1,1,0,11,9,1,8,8,1,1,1,3,10.2,7.6
R. Sterling,NA,1,0,0,1,0,1,1,2,1,0,4,3,0,0,0,2,1.8,7.2
M. Mount,NA,1,1,0,1,0,2,1,9,9,0,10,10,1,0,0,0,11.2,7.2
K. Havertz,NA,1,1,1,2,0,2,2,12,10,1,12,12,0,0,0,1,11.7,8
W. Zaïre-Emery,NA,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,1.8,6
E. Fernández,NA,1,1,0,0,0,0,0,15,12,1,14,14,0,0,1,3,10.7,6.8
D. Rice,NA,1,0,0,0,0,0,0,2,1,0,2,2,1,1,2,0,1.7,6.2
R. Lavia,NA,1,1,0,0,0,0,0,10,9,0,11,9,4,3,3,2,10.7,7
Cucurella,NA,1,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,1.5,6.2
B. Chilwell,NA,1,1,0,0,0,0,0,8,7,0,7,5,1,0,0,2,11.3,6.1
B. Badiashile,NA,1,1,0,0,0,0,0,3,3,0,2,2,0,0,0,0,10.1,6.3
J. Gvardiol,NA,1,1,0,0,0,0,0,7,7,0,5,5,2,1,4,0,9.4,7
T. Chalobah,NA,1,1,0,0,0,0,0,7,7,0,5,5,0,0,2,0,10.3,6.7
M. Gusto,NA,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1.7,6.4
R. James,NA,1,1,0,0,0,0,0,13,12,0,10,10,1,0,1,1,11.2,7.1
Kepa,NA,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4.9,6.3
