"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Andreas Christensen","CB",2,2,0,0,0,0,0,19,19,0,13,13,0,0,4,0,20.3,13.9
"Armando Broja","ST",2,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,5.3,13.4
"Ben Chilwell","LWB",2,2,0,0,0,0,0,19,18,0,14,12,2,0,1,2,19.6,13.5
"Benoît Badiashile","CB",1,1,0,0,0,0,0,3,3,0,2,2,0,0,0,0,10.1,6.3
"Conor Gallagher","CM",1,0,0,0,0,0,0,2,2,0,3,2,0,0,0,1,4.4,6
"Declan Rice","CDM",3,2,0,0,0,0,0,22,19,1,19,17,4,4,8,3,23.3,20.6
"Denis Zakaria","CDM",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3.1,5.8
"Enzo Fernández","CM",2,2,0,0,1,0,0,29,25,2,25,24,0,0,3,5,19.1,13.9
"João Félix","CF",3,3,1,3,3,7,4,30,25,5,22,22,1,1,1,8,27.6,23.7
"Joško Gvardiol","CB",3,3,0,0,0,0,0,22,21,0,14,14,2,1,4,1,31.1,20.2
"Kai Havertz","CAM",3,3,1,4,1,6,3,45,38,5,42,42,0,0,0,4,29.3,23.2
"Kepa","GK",2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,9.6,12.4
"Lewis Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malo Gusto","RB",3,0,0,0,0,0,0,12,8,0,10,9,0,0,2,4,8.1,18.9
"Marc Cucurella","LB",3,1,1,0,2,0,0,17,16,2,11,11,0,0,1,0,18.5,21.2
"Mason Mount","CAM",3,3,0,3,2,7,6,33,28,3,30,30,2,0,2,3,30,22.4
"Nicolas Jackson","ST",2,0,0,0,1,0,0,5,5,1,2,2,0,0,1,0,4.2,12.3
"Raheem Sterling","LW",3,0,0,1,0,3,2,9,5,0,10,8,0,0,0,4,9.4,18.9
"Reece James","RWB",3,3,0,0,1,0,0,38,34,2,35,35,1,0,4,3,30.5,22.3
"Romeo Lavia","CDM",2,1,0,0,0,0,0,14,13,0,14,12,4,3,3,2,12.6,13
"Trevoh Chalobah","CB",1,1,0,0,0,0,0,7,7,0,5,5,0,0,2,0,10.3,6.7
"Warren Zaïre-Emery","CM",3,1,0,1,0,1,1,18,15,2,16,16,0,0,1,3,13.6,19
"Wesley Fofana","CB",2,2,0,0,0,0,0,19,19,0,14,13,3,3,6,1,21.6,14.6
"Édouard Mendy","GK",1,1,0,0,0,0,0,5,5,0,1,1,0,0,3,0,5,6.9
