"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"Andreas Christensen","CB",8,8,0,0,0,0,0,70,66,0,49,46,4,2,19,3,79.6,55.9
"Armando Broja","ST",2,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,5.3,13.4
"Ben Chilwell","LWB",9,8,0,0,2,0,0,95,84,4,72,67,7,3,8,11,89.6,64.6
"Benoît Badiashile","CB",5,5,0,0,0,0,0,31,30,0,30,29,1,0,6,2,49,32.4
"Conor Gallagher","CM",4,2,0,0,0,2,1,22,21,1,22,21,0,0,1,3,24.9,24.2
"Declan Rice","CDM",10,8,0,0,1,0,0,111,105,4,89,87,10,8,22,5,99,70.3
"Denis Zakaria","CDM",4,2,0,0,0,0,0,24,22,1,19,19,2,2,5,1,27.7,25.1
"Enzo Fernández","CM",8,8,0,1,3,3,2,76,69,5,69,65,3,0,4,14,74.4,52.9
"João Félix","CF",11,9,6,17,8,28,22,107,90,18,98,90,1,1,1,21,101.6,89
"Joško Gvardiol","CB",9,9,0,0,0,0,0,78,74,0,63,60,4,2,17,5,93.1,64.8
"Kai Havertz","CAM",10,10,1,11,5,23,17,115,102,14,116,109,0,0,2,20,100.9,73.8
"Kepa","GK",8,8,0,0,0,0,0,32,32,0,12,12,0,0,16,0,39.6,54.1
"Lewis Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malo Gusto","RB",8,2,1,1,0,1,1,42,36,0,34,32,3,3,8,7,40.3,53.5
"Marc Cucurella","LB",8,3,1,0,2,0,0,47,41,4,39,36,3,2,5,7,50.5,55
"Mason Mount","CAM",11,9,1,4,8,16,12,132,110,17,115,111,7,3,9,16,111.4,77.4
"Nicolas Jackson","ST",8,3,0,1,2,8,4,28,23,6,28,23,1,0,1,15,32.7,50.6
"Raheem Sterling","LW",8,2,0,3,2,9,6,37,25,2,40,35,0,0,1,12,43,52.2
"Reece James","RWB",10,9,1,1,3,2,2,106,98,8,96,91,7,5,13,9,101.1,76.7
"Romeo Lavia","CDM",3,1,0,0,0,1,0,18,17,1,18,16,4,3,3,3,14.8,19.2
"Trevoh Chalobah","CB",4,3,0,0,0,0,0,22,22,0,16,16,0,0,4,0,35.1,26.1
"Warren Zaïre-Emery","CM",7,1,0,2,1,3,3,36,32,3,34,34,0,0,1,4,29.4,45
"Wesley Fofana","CB",8,8,0,0,0,1,0,63,57,0,45,44,7,6,16,4,85.1,55.8
"Édouard Mendy","GK",3,3,0,0,0,0,0,12,12,0,2,2,0,0,8,0,15.4,20.8
