"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"João Félix",NA,1,1,1,1,0,2,2,16,14,3,13,11,0,0,0,3,10.6,8
"Mason Mount",NA,1,1,0,0,2,3,2,17,12,3,13,13,0,0,1,1,12.7,7.8
"Kai Havertz",NA,1,1,0,2,0,4,4,8,7,0,11,10,0,0,1,2,8.9,7.7
"Enzo Fernández",NA,1,1,0,0,1,1,1,9,8,1,7,7,1,0,0,2,9,6.5
"Declan Rice",NA,1,1,0,0,0,0,0,15,15,1,14,14,3,3,5,0,12.6,7.7
"Ben Chilwell",NA,1,1,0,0,0,0,0,10,8,0,8,7,0,0,1,3,10.7,7
"Joško Gvardiol",NA,1,1,0,0,0,0,0,9,9,0,8,8,0,0,1,0,10.2,7.1
"Andreas Christensen",NA,1,1,0,0,0,0,0,11,9,0,7,7,0,0,1,0,9.6,7.1
"Wesley Fofana",NA,1,1,0,0,0,0,0,6,5,0,3,3,1,1,3,0,10.5,6.9
"Reece James",NA,1,1,0,0,0,0,0,9,9,1,7,6,1,1,1,0,10.6,7.2
"Kepa",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,5.9
"Marc Cucurella",NA,1,0,0,0,0,0,0,3,3,0,2,2,0,0,0,0,1.8,6.3
"Denis Zakaria",NA,1,0,0,0,0,0,0,5,5,1,4,4,0,0,0,0,3.1,6.1
"Raheem Sterling",NA,1,0,0,1,0,3,2,1,1,0,4,4,0,0,0,0,1.8,7.4
"Nicolas Jackson",NA,1,0,0,0,1,0,0,8,6,2,6,5,0,0,0,3,2.7,6.5
"Malo Gusto",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,6
