Name,Pos,Played,Started,MOTM,Goals,Assists,Shots,Shot_Comp,Pass,Pass_Comp,Key_Pass,Dribble,Dribble_Comp,Tackle,Tackle_Comp,Possession_Won,Possession_Lost,Distance,Rating
K. Havertz,CAM,,,,,,,,,,,,,,,,,,
M. Mount,CAM,,,,,,,,,,,,,,,,,,
J. Gvardiol,CB,,,,,,,,,,,,,,,,,,
N. Jackson,ST,,,,,,,,,,,,,,,,,,
W. Fofana,CB,,,,,,,,,,,,,,,,,,
T. Chalobah,CB,,,,,,,,,,,,,,,,,,
B. Badiashile,CB,,,,,,,,,,,,,,,,,,
A. Christensen,CB,,,,,,,,,,,,,,,,,,
D. Zakaria,CDM,,,,,,,,,,,,,,,,,,
J. Félix,CF,,,,,,,,,,,,,,,,,,
L. Hall,CM,,,,,,,,,,,,,,,,,,
R. Lavia,CDM,,,,,,,,,,,,,,,,,,
E. Fernández,CM,,,,,,,,,,,,,,,,,,
D. Rice,CDM,,,,,,,,,,,,,,,,,,
C. Gallagher,CM,,,,,,,,,,,,,,,,,,
É. Mendy,GK,,,,,,,,,,,,,,,,,,
Kepa,GK,,,,,,,,,,,,,,,,,,
Cucurella,LB,,,,,,,,,,,,,,,,,,
R. Sterling,LW,,,,,,,,,,,,,,,,,,
N. Madueke,RW,,,,,,,,,,,,,,,,,,
B. Chilwell,LWB,,,,,,,,,,,,,,,,,,
R. James,RWB,,,,,,,,,,,,,,,,,,
P. Aubameyang,ST,,,,,,,,,,,,,,,,,,
A. Broja,ST,,,,,,,,,,,,,,,,,,
D. Fofana,ST,,,,,,,,,,,,,,,,,,
M. Gusto,RB,,,,,,,,,,,,,,,,,,
W. Zaïre-Emery,CM,,,,,,,,,,,,,,,,,,
A. Elenga,RW,,,,,,,,,,,,,,,,,,
