"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"A. Broja","ST",2,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,5.3,13.4
"A. Christensen","CB",3,3,0,0,0,0,0,26,26,0,16,16,3,1,7,0,29.8,21
"A. Elenga","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Badiashile","CB",1,1,0,0,0,0,0,3,3,0,2,2,0,0,0,0,10.1,6.3
"B. Chilwell","LWB",3,3,0,0,1,0,0,31,28,1,24,22,3,1,1,3,30.7,20.8
"C. Gallagher","CM",1,0,0,0,0,0,0,2,2,0,3,2,0,0,0,1,4.4,6
"Cucurella","LB",4,1,1,0,2,0,0,18,17,2,12,12,0,0,1,0,20.7,27.5
"D. Fofana","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Rice","CDM",4,3,0,0,0,0,0,38,35,1,33,31,4,4,10,3,35.1,28.2
"D. Zakaria","CDM",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3.1,5.8
"E. Fernández","CM",3,3,0,0,1,1,0,40,36,2,36,34,0,0,3,7,28.7,20.1
"J. Félix","CF",4,4,2,6,3,10,7,39,33,6,28,27,1,1,1,9,37,32
"J. Gvardiol","CB",4,4,0,0,0,0,0,30,29,0,23,22,2,1,6,2,41.1,27.2
"K. Havertz","CAM",4,4,1,5,2,7,4,56,48,6,51,51,0,0,0,5,38.5,30.7
"Kepa","GK",3,3,0,0,0,0,0,8,8,0,3,3,0,0,6,0,14.9,19.7
"L. Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Gusto","RB",3,0,0,0,0,0,0,12,8,0,10,9,0,0,2,4,8.1,18.9
"M. Mount","CAM",4,4,0,3,2,9,7,48,42,5,44,42,4,2,5,5,42.7,29.8
"N. Jackson","ST",3,0,0,0,1,1,0,6,5,1,4,4,1,0,1,2,6.5,18.1
"N. Madueke","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Aubameyang","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. James","RWB",4,4,0,0,2,0,0,48,52,4,44,43,1,0,5,5,40.9,30.2
"R. Lavia","CDM",3,1,0,0,0,1,0,18,17,1,18,16,4,3,3,3,14.8,19.2
"R. Sterling","LW",4,0,0,1,0,3,2,10,6,0,10,8,0,0,0,4,11.6,24.7
"T. Chalobah","CB",1,1,0,0,0,0,0,7,7,0,5,5,0,0,2,0,10.3,6.7
"W. Fofana","CB",4,3,0,0,0,0,0,29,27,0,22,21,5,5,8,2,34.7,27.8
"W. Zaïre-Emery","CM",3,1,0,1,0,1,1,18,15,2,16,16,0,0,1,3,13.6,19
"É. Mendy","GK",1,1,0,0,0,0,0,5,5,0,1,1,0,0,3,0,5,6.9
