"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"A. Broja","ST",1,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,2.8,7.5
"A. Christensen","CB",1,1,0,0,0,0,0,9,9,0,7,7,0,0,1,0,9.8,7.2
"A. Elenga","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Badiashile","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Chilwell","LWB",1,1,0,0,0,0,0,11,11,0,7,7,1,0,1,0,8.3,7.4
"C. Gallagher","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucurella","LB",1,0,0,0,1,0,0,6,6,1,4,4,0,0,1,0,4.1,7.5
"D. Fofana","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Rice","CDM",1,1,0,0,0,0,0,12,10,1,9,7,1,1,3,3,12,7.3
"D. Zakaria","CDM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E. Fernández","CM",1,1,0,0,1,0,0,14,13,1,11,10,0,0,2,2,8.4,7.1
"J. Félix","CF",1,1,1,2,1,4,3,13,11,3,9,9,0,0,0,3,8.3,8.7
"J. Gvardiol","CB",1,1,0,0,0,0,0,9,9,0,5,5,0,0,0,0,10.4,7.3
"K. Havertz","CAM",1,1,0,1,1,3,0,13,12,2,12,12,0,0,0,0,8.7,8
"Kepa","GK",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,6.1
"L. Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Gusto","RB",1,0,0,0,0,0,0,8,6,0,7,6,0,0,2,2,3.7,6.8
"M. Mount","CAM",1,1,0,2,1,4,4,17,12,1,12,12,1,0,2,3,10.4,8.5
"N. Jackson","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N. Madueke","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Aubameyang","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. James","RWB",1,1,0,0,1,0,0,14,12,2,14,14,0,0,1,1,9.3,8
"R. Lavia","CDM",1,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,1.9,6
"R. Sterling","LW",1,0,0,0,0,1,1,4,1,0,2,1,0,0,0,1,3.4,5.9
"T. Chalobah","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W. Fofana","CB",1,1,0,0,0,0,0,12,12,0,6,6,2,2,3,0,10.6,8.1
"W. Zaïre-Emery","CM",1,0,0,0,0,0,0,5,4,2,5,5,0,0,1,1,3.8,6.3
"É. Mendy","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
