"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"A. Broja","ST",2,0,0,1,0,1,1,2,1,0,3,3,0,0,0,0,5.3,13.4
"A. Christensen","CB",5,5,0,0,0,0,0,47,45,0,30,30,3,1,13,2,49.5,35
"A. Elenga","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Badiashile","CB",1,1,0,0,0,0,0,3,3,0,2,2,0,0,0,0,10.1,6.3
"B. Chilwell","LWB",5,5,0,0,1,0,0,56,49,1,38,36,5,3,4,5,51.6,35
"C. Gallagher","CM",2,0,0,0,0,0,0,6,6,0,6,5,0,0,0,1,7.4,11.9
"Cucurella","LB",5,1,1,0,2,0,0,19,18,2,13,13,0,0,1,0,23.9,33.6
"D. Fofana","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Rice","CDM",6,5,0,0,0,0,0,69,64,1,55,53,5,4,14,5,57.9,41.5
"D. Zakaria","CDM",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3.1,5.8
"E. Fernández","CM",5,5,0,1,2,2,1,54,50,3,48,45,1,0,3,8,46.1,34
"J. Félix","CF",6,6,3,9,5,15,10,57,48,10,49,46,1,1,1,14,57.5,48
"J. Gvardiol","CB",6,6,0,0,0,0,0,52,50,0,39,38,4,2,11,2,61.9,42.6
"K. Havertz","CAM",6,6,1,6,4,13,7,83,72,9,79,78,0,0,0,13,61.5,44.7
"Kepa","GK",5,5,0,0,0,0,0,20,20,0,6,6,0,0,12,0,26,34.5
"L. Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Gusto","RB",5,0,0,0,0,0,0,18,14,0,14,12,1,1,2,6,13.5,31.3
"M. Mount","CAM",6,6,0,3,3,9,7,72,61,7,66,63,4,2,6,10,64.1,42.2
"N. Jackson","ST",4,0,0,1,1,2,1,8,7,1,6,5,1,0,1,2,9.1,25.6
"N. Madueke","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Aubameyang","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. James","RWB",6,6,1,1,2,1,1,66,69,6,64,61,4,3,7,8,62.8,46.5
"R. Lavia","CDM",3,1,0,0,0,1,0,18,17,1,18,16,4,3,3,3,14.8,19.2
"R. Sterling","LW",5,0,0,1,1,3,2,15,10,1,15,13,0,0,0,5,14.7,30.9
"T. Chalobah","CB",1,1,0,0,0,0,0,7,7,0,5,5,0,0,2,0,10.3,6.7
"W. Fofana","CB",5,5,0,0,0,0,0,41,38,0,31,30,6,5,11,3,53.5,35.1
"W. Zaïre-Emery","CM",4,1,0,1,0,1,1,21,17,2,19,19,0,0,1,4,16.9,24.7
"É. Mendy","GK",1,1,0,0,0,0,0,5,5,0,1,1,0,0,3,0,5,6.9
