"Name","Pos","Played","Started","MOTM","Goals","Assists","Shots","Shot_Comp","Pass","Pass_Comp","Key_Pass","Dribble","Dribble_Comp","Tackle","Tackle_Comp","Possession_Won","Possession_Lost","Distance","Rating"
"A. Broja","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A. Christensen","CB",1,1,0,0,0,0,0,7,7,0,3,3,3,1,3,0,9.5,7.1
"A. Elenga","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Badiashile","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B. Chilwell","LWB",1,1,0,0,1,0,0,12,10,1,10,10,1,1,0,1,11.1,7.3
"C. Gallagher","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cucurella","LB",1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2.2,6.3
"D. Fofana","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D. Rice","CDM",1,1,0,0,0,0,0,16,16,0,14,14,0,0,2,0,11.8,7.6
"D. Zakaria","CDM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E. Fernández","CM",1,1,0,0,0,1,0,11,11,0,11,10,0,0,0,2,9.6,6.2
"J. Félix","CF",1,1,1,3,0,3,3,9,8,1,6,5,0,0,0,1,9.4,8.3
"J. Gvardiol","CB",1,1,0,0,0,0,0,8,8,0,9,8,0,0,2,1,10,7
"K. Havertz","CAM",1,1,0,1,1,1,1,11,10,1,9,9,0,0,0,1,9.2,7.5
"Kepa","GK",1,1,0,0,0,0,0,7,7,0,3,3,0,0,4,0,5.3,7.3
"L. Hall","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Gusto","RB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M. Mount","CAM",1,1,0,0,0,2,1,15,14,2,14,12,2,2,3,2,12.7,7.4
"N. Jackson","ST",1,0,0,0,0,1,0,1,0,0,2,2,1,0,0,2,2.3,5.8
"N. Madueke","RW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P. Aubameyang","ST",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R. James","RWB",1,1,0,0,1,0,0,10,9,2,9,8,0,0,1,2,10.4,7.9
"R. Lavia","CDM",1,0,0,0,0,1,0,4,4,1,4,4,0,0,0,1,2.2,6.2
"R. Sterling","LW",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.2,5.8
"T. Chalobah","CB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W. Fofana","CB",2,1,0,0,0,0,0,10,8,0,8,8,2,2,2,1,13.1,13.2
"W. Zaïre-Emery","CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"É. Mendy","GK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
